
移动,104.18.20.100,31 MB,4090 kB/s,206 毫秒,SEA,2024-09-30 17:29:31
移动,104.21.27.242,31 MB,4087 kB/s,206 毫秒,SEA,2024-09-30 17:29:31
移动,104.26.14.26,30 MB,3947 kB/s,207 毫秒,SEA,2024-09-30 17:29:31
移动,172.67.72.27,31 MB,4035 kB/s,208 毫秒,SEA,2024-09-30 17:24:59
移动,104.18.30.114,31 MB,3996 kB/s,208 毫秒,SEA,2024-09-30 17:29:31
联通,172.67.72.27,31 MB,4035 kB/s,108 毫秒,HKG,2024-09-30 17:24:59
联通,162.159.143.216,39 MB,5018 kB/s,121 毫秒,HKG,2024-09-30 17:24:59
联通,104.19.179.254,28 MB,3687 kB/s,200 毫秒,SJC,2024-09-30 17:24:59
联通,104.21.0.145,30 MB,3860 kB/s,201 毫秒,LAX,2024-09-30 17:23:36
联通,104.20.247.157,29 MB,3740 kB/s,203 毫秒,LAX,2024-09-30 17:23:36
电信,172.64.206.70,26 MB,3332 kB/s,160 毫秒,SJC,2024-09-30 17:31:40
电信,172.64.106.141,30 MB,3900 kB/s,160 毫秒,SJC,2024-09-30 17:31:40
电信,172.64.104.83,37 MB,4762 kB/s,161 毫秒,SJC,2024-09-30 17:20:46
电信,172.64.142.19,29 MB,3720 kB/s,163 毫秒,SJC,2024-09-30 17:26:35
电信,172.64.174.85,27 MB,3540 kB/s,163 毫秒,SJC,2024-09-30 17:26:40
国内,104.17.99.196,29 MB,3831 kB/s,129 毫秒,SJC,2024-09-30 05:36:35
国内,104.17.20.182,29 MB,3739 kB/s,132 毫秒,SJC,2024-09-30 05:13:58
国内,104.17.105.234,25 MB,3213 kB/s,137 毫秒,SJC,2024-09-30 04:53:48
国内,104.17.116.70,28 MB,3586 kB/s,178 毫秒,SJC,2024-09-30 09:12:54
国内,104.16.68.163,19 MB,2471 kB/s,189 毫秒,SJC,2024-09-30 05:05:04
